date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:58	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Oct%202021%2005:36:58%20GMT	http://www.thetahmid.com/robots.txt		(from )
11:06:59	78288/78288	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202019%2017:12:32%20GMT	http://www.thetahmid.com/themes/mediseba-v1.2/	www.thetahmid.com/themes/mediseba-v1.2/index.html	(from )
11:07:00	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Mon,%2030%20Apr%202018%2006:48:48%20GMT	http://www.thetahmid.com/themes/mediseba-v1.2/images/favicon.ico	www.thetahmid.com/themes/mediseba-v1.2/images/favicon.ico	(from http://www.thetahmid.com/themes/mediseba-v1.2/)
11:07:01	155766/155766	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Jul%202019%2020:01:36%20GMT	http://www.thetahmid.com/themes/mediseba-v1.2/css/assets/bootstrap.min.css	www.thetahmid.com/themes/mediseba-v1.2/css/assets/bootstrap.min.css	(from http://www.thetahmid.com/themes/mediseba-v1.2/)
11:07:02	31018/31018	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Jan%202017%2017:53:10%20GMT	http://www.thetahmid.com/themes/mediseba-v1.2/css/assets/font-awesome.min.css	www.thetahmid.com/themes/mediseba-v1.2/css/assets/font-awesome.min.css	(from http://www.thetahmid.com/themes/mediseba-v1.2/)
11:07:03	72259/72259	---M-Z	200	added ('OK')	text/css	date:Sat,%2025%20Feb%202017%2015:29:54%20GMT	http://www.thetahmid.com/themes/mediseba-v1.2/css/assets/animate.css	www.thetahmid.com/themes/mediseba-v1.2/css/assets/animate.css	(from http://www.thetahmid.com/themes/mediseba-v1.2/)
11:07:04	3011/3011	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202016%2021:16:22%20GMT	http://www.thetahmid.com/themes/mediseba-v1.2/css/assets/owl.carousel.min.css	www.thetahmid.com/themes/mediseba-v1.2/css/assets/owl.carousel.min.css	(from http://www.thetahmid.com/themes/mediseba-v1.2/)
11:07:05	9309/9309	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Mar%202018%2018:23:16%20GMT	http://www.thetahmid.com/themes/mediseba-v1.2/css/assets/tempusdominus-bootstrap-4.min.css	www.thetahmid.com/themes/mediseba-v1.2/css/assets/tempusdominus-bootstrap-4.min.css	(from http://www.thetahmid.com/themes/mediseba-v1.2/)
11:07:06	6951/6951	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Jun%202017%2019:11:48%20GMT	http://www.thetahmid.com/themes/mediseba-v1.2/css/assets/magnific-popup.css	www.thetahmid.com/themes/mediseba-v1.2/css/assets/magnific-popup.css	(from http://www.thetahmid.com/themes/mediseba-v1.2/)
11:07:07	7708/7708	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Jan%202016%2007:12:52%20GMT	http://www.thetahmid.com/themes/mediseba-v1.2/css/assets/normalize.css	www.thetahmid.com/themes/mediseba-v1.2/css/assets/normalize.css	(from http://www.thetahmid.com/themes/mediseba-v1.2/)
11:07:08	175822/175822	---M-Z	200	added ('OK')	text/css	date:Fri,%2009%20Aug%202019%2006:22:10%20GMT	http://www.thetahmid.com/themes/mediseba-v1.2/css/style.css	www.thetahmid.com/themes/mediseba-v1.2/css/style.css	(from http://www.thetahmid.com/themes/mediseba-v1.2/)
11:07:09	15284/15284	---M-Z	200	added ('OK')	text/css	date:Fri,%2009%20Aug%202019%2005:29:18%20GMT	http://www.thetahmid.com/themes/mediseba-v1.2/css/assets/responsive.css	www.thetahmid.com/themes/mediseba-v1.2/css/assets/responsive.css	(from http://www.thetahmid.com/themes/mediseba-v1.2/)
